Investor,Count
Female Founders Fund,1
Oak Investment Partners,1
Visa Ventures,1
NightDragon Security,1
Vivo Capital,1
Microsoft,1
Insignia Ventures Partners,1
Tru Arrow Partners,1
The Times Group,1
GMO VenturePartners,1
IAG Capital Partners,1
Augmentum Fintech,1
Vitruvian Partners,1
Merieux Equity Partners,1
Straumann,1
FreesFund,1
Hearst Ventures,1
Leaders Fund,1
468 Capital,1
Korea Investment Private Equity,1
Korea Investment Partners,1
Acero Capital,1
Equal Ventures,1
NetEase Capital,1
Madera Technology Partners,1
AU21,1
Griffin Gaming Partners,1
TDK Ventures,1
NIO Capital,1
Cadenza Ventures,1
BlockTower Capital,1
Smilegate Investment,1
DSC Investments,1
KTB Ventures,1
Flagship Pioneering,1
Cobalt Capital,1
Danhua Capital,1
MSA Capital,1
XBTO Ventures,1
Raven One Ventures,1
SK Ventures,1
China Capital Investment Group,1
"Hyde Park Venture Partners,	FundersClub. Bain Capital Ventures",1
Bregal Sagemount,1
Dragonfly Captial,1
Johnson & Johnson Innovation,1
Optum Ventures,1
Transformation Capital,1
Delian Capital,1
China International Capital Corporation,1
Pereg Ventures,1
Team8,1
Day One Ventures,1
Peterson Ventures,1
Advance Venture Partners,1
Lupa Systems,1
	Summit Partners,1
Grand Flight Investment,1
"Khosla Ventures,General Catalyst",1
Victory Park Capital,1
Varengold Bank,1
Liberty Strategic Capital,1
Eden Global Partners,1
Wildcat Capital Management,1
Tola Capital,1
Green Bay Ventures,1
Prime Movers Lab,1
I Squared Capital,1
Trellis Partners,1
Primary Venture Partners,1
Harmonic Growth Partners,1
FTX Ventures,1
Japan Industrial Partners,1
Impact Investment Capital,1
NEC,1
Circularity Capital,1
U.S. Venture Partners,1
Coparion,1
Tull Investment Group,1
Emergence Capital,1
iSeed Ventures,1
Buckley Ventures,1
K Fund,1
AMF Pensionsforsakring,1
Sinar Mas Digital Ventures,1
JIC Venture Growth Investments,1
Gaja Capital Partners,1
Stakeboat Capital,1
Hyde Park Angels,1
Boost VC,1
Draper Associates,1
dRx Capital,1
Baleen Capital,1
Cathay Innovation,1
Apax Partners,1
NJF Capital,1
Paladin Capital Group,1
Navitas Capital,1
RRE Ventures+,1
Prysm Capital,1
Danone Manifesto Ventures,1
1955 Capital,1
NewAlpha,1
XAnge Private Equity,1
Triangle Peak Partners,1
CyberStarts,1
Alpargatas,1
Nine Intelligence Capital,1
Guggenheim Investments,1
First Ascent Ventures,1
Fasanara Capital,1
JBV Capital,1
Array Ventures,1
AWZ Ventures,1
Endiya Partners,1
Next Play Ventures,1
Zeal Capital Partners,1
Multicoin Capital,1
Dragonfly Capital Partners,1
NGP Capital,1
Eleven Ventures,1
Lemniscap VC,1
North Island Ventures,1
Hanaco Ventures,1
STRIVE,1
Cox Enterprises,1
Ballast Point Ventures,1
Ideal International,1
Wanxin Media,1
Railway Pension Trustee Co. Ltd.,1
Toba Capital,1
Spring Ventures,1
SoftBankGroup,1
Passport Capital,1
Rho Ventures,1
Shima Capital,1
Softbank Corp.,1
Sherpalo Ventures,1
Silver Lake Partners,1
New Horizon Capital,1
Ventech China,1
Ping An Insurance,1
China Minsheng Investment,1
Silverlink Capital,1
Princeville Global,1
Hinduja Group,1
Vcanbio,1
Insights Venture Partners,1
Berkshire Partners,1
Standard Chartered,1
FinSight Ventures,1
Affirma Capital,1
Blue Label Telecoms,1
Net1 UEPS Technologies,1
Co-Energy Finance,1
Grandland,1
K2 Global,1
ING,1
Alibaba Entrepreneurs Fund,1
Beyond Net Zero,1
Astorg Partners,1
Fosun RZ Capital,1
Nichi-Iko Pharmaceutical,1
Robert Bosch Venture Capital,1
SeptWolves Ventures,1
QF Capital,1
QC Capital,1
AF Ventures,1
Siddhi Capital,1
Inflexion Private Equity,1
Trifecta Capital Advisors,1
Stellaris Venture Partners,1
Rich Land Capital,1
Merrysunny Wealth,1
FundersClub,1
	01 Advisors,1
Lindeman Asia Investment,1
Aviv Venture Capital,1
OGCI Climate Investments,1
Shell Ventures,1
Gopher Asset Management,1
Shanghai Electric Group,1
Tusk Ventures,1
BDC Capital,1
Georgian,1
Bualuang Ventures,1
Placeholder Capital,1
Binance Ventures,1
Mouro Capital,1
Gramercy Ventures,1
LEAP Global Partners,1
Cervin Ventures,1
Meson Capital Partners,1
Ginko Ventures,1
Oceanwide Holdings,1
E Fund,1
DFJ DragonFund,1
Centralway,1
Bright Venture Capita,1
Aspenwood Ventures,1
KCK Group,1
EXOR Seeds,1
One Equity Partners,1
True,1
Causeway Media Partners,1
Sozo Ventures,1
